score	annot	celltype
chr10-18611872-18612372	1	Mouse	Enterocytes
chr10-24041520-24042020	1	Mouse	Enterocytes
chr10-24042220-24042720	1	Mouse	Enterocytes
chr10-24042831-24043331	1	Mouse	Enterocytes
chr10-24694623-24695123	1	Mouse	Enterocytes
chr10-24695995-24696495	1	Mouse	Enterocytes
chr10-25843827-25844327	1	Mouse	Enterocytes
chr10-27099726-27100226	1	Mouse	Enterocytes
chr10-27100268-27100768	1	Mouse	Enterocytes
chr10-34305124-343056241	1	Mouse	Enterocytes
chr10-48655367-48655867	1	Mouse	Enterocytes
chr10-50580437-50580937	1	Mouse	Enterocytes
chr10-51999040-51999540	1	Mouse	Enterocytes
chr10-72173899-72174399	1	Mouse	Enterocytes
chr10-75186172-75186672	1	Mouse	Enterocytes
chr10-77386748-77387248	1	Mouse	Enterocytes
chr10-79340727-79341227	1	Mouse	Enterocytes
chr10-79342155-793426551	1	Mouse	Enterocytes
chr10-88731229-88731729	1	Mouse	Enterocytes
chr10-93576874-93577374	1	Mouse	Enterocytes
chr10-93577405-93577905	1	Mouse	Enterocytes
chr10-93835667-93836167	1	Mouse	Enterocytes
chr10-93865907-93866407	1	Mouse	Enterocytes
chr10-94150651-94151151	1	Mouse	Enterocytes
chr10-96270508-962710081	1	Mouse	Enterocytes
chr10-96272836-96273336	1	Mouse	Enterocytes
chr10-96273593-962740931	0.759999990463257	Mouse	Enterocytes
chr10-97349326-97349826	1	Mouse	Enterocytes
chr10-97350796-97351296	1	Mouse	Enterocytes
chr10-100044408-100044908	1	Mouse	Enterocytes
chr10-109961681-109962181	1	Mouse	Enterocytes
chr10-113071402-113071902	1	Mouse	Enterocytes
chr10-113624706-113625206	1	Mouse	Enterocytes
chr10-113625741-113626241	1	Mouse	Enterocytes
chr10-117411927-117412427	1	Mouse	Enterocytes
chr10-127874548-127875048	1	Mouse	Enterocytes
chr10-127875084-127875584	1	Mouse	Enterocytes
chr11-405459-405959	1	Mouse	Enterocytes
chr11-5720017-5720517	1	Mouse	Enterocytes
chr11-6360067-6360567	1	Mouse	Enterocytes
chr11-7576650-7577150	1	Mouse	Enterocytes
chr11-7577815-7578315	1	Mouse	Enterocytes
chr11-10925509-10926009	1	Mouse	Enterocytes
chr11-12052688-12053188	1	Mouse	Enterocytes
chr11-16404903-16405403	1	Mouse	Enterocytes
chr11-16405672-16406172	1	Mouse	Enterocytes
chr11-17008014-17008514	1	Mouse	Enterocytes
chr11-27189092-27189592	1	Mouse	Enterocytes
chr11-27190734-27191234	1	Mouse	Enterocytes
chr11-27205267-27205767	1	Mouse	Enterocytes
chr11-27385161-27385661	1	Mouse	Enterocytes
chr11-44600145-44600645	1	Mouse	Enterocytes
chr11-47158151-47158651	1	Mouse	Enterocytes
chr11-57277761-57278261	1	Mouse	Enterocytes
chr11-57303196-57303696	1	Mouse	Enterocytes
chr11-57303745-57304245	1	Mouse	Enterocytes
chr11-57304258-57304758	1	Mouse	Enterocytes
chr11-61607945-61608445	1	Mouse	Enterocytes
chr11-61711362-61711862	1	Mouse	Enterocytes
chr11-61712283-61712783	1	Mouse	Enterocytes
chr11-61715799-61716299	1	Mouse	Enterocytes
chr11-63502246-63502746	1	Mouse	Enterocytes
chr11-63880423-63880923	1	Mouse	Enterocytes
chr11-64222756-64223256	1	Mouse	Enterocytes
chr11-64894675-64895175	1	Mouse	Enterocytes
chr11-64996781-64997281	1	Mouse	Enterocytes
chr11-66975849-66976349	1	Mouse	Enterocytes
chr11-70159554-70160054	1	Mouse	Enterocytes
chr11-70160083-70160583	1	Mouse	Enterocytes
chr11-73193630-73194130	1	Mouse	Enterocytes
chr11-76740819-76741319	1	Mouse	Enterocytes
chr11-86577989-86578489	1	Mouse	Enterocytes
chr11-105034421-105034921	0.860000014305115	Mouse	Enterocytes
chr11-105034939-105035439	1	Mouse	Enterocytes
chr11-108592825-108593325	1	Mouse	Enterocytes
chr11-115357020-115357520	1	Mouse	Enterocytes
chr11-123073362-123073862	1	Mouse	Enterocytes
chr12-509478-509978	1	Mouse	Enterocytes
chr12-3740801-3741301	1	Mouse	Enterocytes
chr12-4036714-4037214	1	Mouse	Enterocytes
chr12-6177549-6178049	1	Mouse	Enterocytes
chr12-10615492-10615992	1	Mouse	Enterocytes
chr12-12510976-12511476	1	Mouse	Enterocytes
chr12-12512138-12512638	1	Mouse	Enterocytes
chr12-12804496-12804996	1	Mouse	Enterocytes
chr12-13163812-13164312	1	Mouse	Enterocytes
chr12-13164802-13165302	1	Mouse	Enterocytes
chr12-15214512-15215012	1	Mouse	Enterocytes
chr12-19058522-19059022	1	Mouse	Enterocytes
chr12-25074718-25075218	1	Mouse	Enterocytes
chr12-25075416-25075916	1	Mouse	Enterocytes
chr12-25255921-25256421	1	Mouse	Enterocytes
chr12-25256708-25257208	1	Mouse	Enterocytes
chr12-25257557-25258057	1	Mouse	Enterocytes
chr12-25412719-25413219	1	Mouse	Enterocytes
chr12-32578952-32579452	0.939999997615814	Mouse	Enterocytes
chr12-39354904-39355404	1	Mouse	Enterocytes
chr12-47893916-47894416	1	Mouse	Enterocytes
chr12-47941892-47942392	1	Mouse	Enterocytes
chr12-50273994-50274494	1	Mouse	Enterocytes
chr12-57888894-57889394	1	Mouse	Enterocytes
chr12-59191325-59191825	1	Mouse	Enterocytes
chr12-59847943-59848443	1	Mouse	Enterocytes
chr12-67709853-67710353	1	Mouse	Enterocytes
chr12-71201133-71201633	1	Mouse	Enterocytes
chr12-76665513-76666013	1	Mouse	Enterocytes
chr12-79692813-79693313	1	Mouse	Enterocytes
chr12-79738850-79739350	1	Mouse	Enterocytes
chr12-80400014-80400514	1	Mouse	Enterocytes
chr12-80400542-80401042	1	Mouse	Enterocytes
chr12-82740315-82740815	1	Mouse	Enterocytes
chr12-85836143-858366431	1	Mouse	Enterocytes
chr12-89775343-89775843	1	Mouse	Enterocytes
chr12-92062525-92063025	1	Mouse	Enterocytes
chr12-92064951-92065451	1	Mouse	Enterocytes
chr12-92065486-92065986	1	Mouse	Enterocytes
chr12-92260963-92261463	1	Mouse	Enterocytes
chr12-92332486-92332986	1	Mouse	Enterocytes
chr12-93121669-93122169	1	Mouse	Enterocytes
chr12-94609916-94610416	1	Mouse	Enterocytes
chr12-94641256-94641756	1	Mouse	Enterocytes
chr12-95162947-95163447	1	Mouse	Enterocytes
chr12-95191206-95191706	1	Mouse	Enterocytes
chr12-98538073-98538573	1	Mouse	Enterocytes
chr12-101209104-101209604	1	Mouse	Enterocytes
chr12-101209970-101210470	1	Mouse	Enterocytes
chr12-104256008-104256508	1	Mouse	Enterocytes
chr12-104515836-104516336	1	Mouse	Enterocytes
chr12-109912791-109913291	1	Mouse	Enterocytes
chr12-109914429-109914929	1	Mouse	Enterocytes
chr12-110256624-110257124	1	Mouse	Enterocytes
chr12-110257129-110257629	1	Mouse	Enterocytes
chr12-110262068-110262568	1	Mouse	Enterocytes
chr12-113234268-113234768	1	Mouse	Enterocytes
chr12-119730251-119730751	1	Mouse	Enterocytes
chr12-128323458-128323958	1	Mouse	Enterocytes
chr13-25819867-25820367	1	Mouse	Enterocytes
chr13-25881842-25882342	1	Mouse	Enterocytes
chr13-27374596-27375096	1	Mouse	Enterocytes
chr13-27850984-27851484	1	Mouse	Enterocytes
chr13-27851666-27852166	1	Mouse	Enterocytes
chr13-32033797-32034297	1	Mouse	Enterocytes
chr13-39046454-39046954	1	Mouse	Enterocytes
chr13-40379144-40379644	1	Mouse	Enterocytes
chr13-44050388-44050888	1	Mouse	Enterocytes
chr13-44108944-44109444	1	Mouse	Enterocytes
chr13-48580148-48580648	1	Mouse	Enterocytes
chr13-48580863-48581363	1	Mouse	Enterocytes
chr13-48583891-48584391	1	Mouse	Enterocytes
chr13-48584478-48584978	1	Mouse	Enterocytes
chr13-73334364-73334864	1	Mouse	Enterocytes
chr13-73335660-73336160	1	Mouse	Enterocytes
chr13-73367070-73367570	1	Mouse	Enterocytes
chr13-73565644-73566144	1	Mouse	Enterocytes
chr13-75724180-75724680	1	Mouse	Enterocytes
chr13-75725718-75726218	1	Mouse	Enterocytes
chr13-75771771-75772271	1	Mouse	Enterocytes
chr13-75797662-75798162	1	Mouse	Enterocytes
chr13-94478819-94479319	1	Mouse	Enterocytes
chr13-94713216-94713716	1	Mouse	Enterocytes
chr13-103081425-103081925	1	Mouse	Enterocytes
chr13-103354255-103354755	1	Mouse	Enterocytes
chr13-106525801-106526301	1	Mouse	Enterocytes
chr13-108269886-108270386	1	Mouse	Enterocytes
chr13-109868491-109868991	1	Mouse	Enterocytes
chr13-109869522-109870022	1	Mouse	Enterocytes
chr14-24213240-24213740	1	Mouse	Enterocytes
chr14-32329878-32330378	1	Mouse	Enterocytes
chr14-32331075-32331575	1	Mouse	Enterocytes
chr14-37968764-37969264	1	Mouse	Enterocytes
chr14-37969361-37969861	1	Mouse	Enterocytes
chr14-38201223-38201723	1	Mouse	Enterocytes
chr14-38210057-38210557	1	Mouse	Enterocytes
chr14-38210815-38211315	1	Mouse	Enterocytes
chr14-52778519-52779019	1	Mouse	Enterocytes
chr14-61264631-61265131	1	Mouse	Enterocytes
chr14-63862702-63863202	1	Mouse	Enterocytes
chr14-63863316-63863816	1	Mouse	Enterocytes
chr14-63864254-63864754	1	Mouse	Enterocytes
chr14-64114076-64114576	1	Mouse	Enterocytes
chr14-64114734-64115234	1	Mouse	Enterocytes
chr14-71233945-71234445	1	Mouse	Enterocytes
chr14-71236419-71236919	1	Mouse	Enterocytes
chr14-73173072-73173572	1	Mouse	Enterocytes
chr14-75230797-75231297	1	Mouse	Enterocytes
chr14-75231300-75231800	1	Mouse	Enterocytes
chr14-77022872-77023372	1	Mouse	Enterocytes
chr14-77107173-77107673	1	Mouse	Enterocytes
chr14-77124854-77125354	1	Mouse	Enterocytes
chr14-77637343-77637843	1	Mouse	Enterocytes
chr14-77641345-77641845	1	Mouse	Enterocytes
chr14-81301775-81302275	1	Mouse	Enterocytes
chr14-89356721-89357221	1	Mouse	Enterocytes
chr14-95510325-95510825	1	Mouse	Enterocytes
chr14-99576223-99576723	1	Mouse	Enterocytes
chr14-100359800-100360300	1	Mouse	Enterocytes
chr15-29910118-29910618	1	Mouse	Enterocytes
chr15-42157753-42158753	1	Mouse	Enterocytes
chr15-43592658-43593158	0	Mouse	Enterocytes
chr15-50783904-50784404	1	Mouse	Enterocytes
chr15-52292718-52293218	1	Mouse	Enterocytes
chr15-55246470-55246970	1	Mouse	Enterocytes
chr15-55247086-55247586	1	Mouse	Enterocytes
chr15-58476180-58476680	1	Mouse	Enterocytes
chr15-58476684-58477184	1	Mouse	Enterocytes
chr15-58504663-58505163	1	Mouse	Enterocytes
chr15-58505460-58505960	1	Mouse	Enterocytes
chr15-58506145-58506645	1	Mouse	Enterocytes
chr15-60381325-60381825	1	Mouse	Enterocytes
chr15-60392472-60392972	1	Mouse	Enterocytes
chr15-60393009-60393509	1	Mouse	Enterocytes
chr15-63320390-63320890	1	Mouse	Enterocytes
chr15-64050441-64050941	1	Mouse	Enterocytes
chr15-65915260-65915760	1	Mouse	Enterocytes
chr15-65915969-65916469	1	Mouse	Enterocytes
chr15-80031757-80032257	1	Mouse	Enterocytes
chr15-90212416-902129161	1	Mouse	Enterocytes
chr15-90214805-90215305	1	Mouse	Enterocytes
chr15-92837963-92838463	1	Mouse	Enterocytes
chr15-98003982-98004482	1	Mouse	Enterocytes
chr16-241775-242275	1	Mouse	Enterocytes
chr16-243317-243817	1	Mouse	Enterocytes
chr16-2211948-2212448	1	Mouse	Enterocytes
chr16-4522194-4522694	1	Mouse	Enterocytes
chr16-8727093-8727593	1	Mouse	Enterocytes
chr16-8728213-8728713	1	Mouse	Enterocytes
chr16-11079024-11079524	1	Mouse	Enterocytes
chr16-11079732-11080232	1	Mouse	Enterocytes
chr16-12121253-12121753	1	Mouse	Enterocytes
chr16-17362181-17362681	1	Mouse	Enterocytes
chr16-17362961-17363461	1	Mouse	Enterocytes
chr16-21227754-21228254	1	Mouse	Enterocytes
chr16-52572165-52572665	1	Mouse	Enterocytes
chr16-57373406-57373906	1	Mouse	Enterocytes
chr16-57374154-57374654	1	Mouse	Enterocytes
chr16-57383797-57384297	1	Mouse	Enterocytes
chr16-66326891-66327391	1	Mouse	Enterocytes
chr16-66948247-66948747	1	Mouse	Enterocytes
chr16-66949373-66949873	1	Mouse	Enterocytes
chr16-67451031-67451531	1	Mouse	Enterocytes
chr16-68764294-68764794	1	Mouse	Enterocytes
chr16-68764801-68765301	1	Mouse	Enterocytes
chr16-71643672-71644172	1	Mouse	Enterocytes
chr16-81533908-81534408	1	Mouse	Enterocytes
chr16-82016807-82017307	1	Mouse	Enterocytes
chr16-88810309-88810809	1	Mouse	Enterocytes
chr17-1087654-1088154	1	Mouse	Enterocytes
chr17-1592537-1593037	1	Mouse	Enterocytes
chr17-2271937-2272437	1	Mouse	Enterocytes
chr17-2929963-2930463	1	Mouse	Enterocytes
chr17-2939687-2940187	1	Mouse	Enterocytes
chr17-2995437-2995937	1	Mouse	Enterocytes
chr17-3977385-3977885	1	Mouse	Enterocytes
chr17-5582398-5582898	1	Mouse	Enterocytes
chr17-7456133-7456633	1	Mouse	Enterocytes
chr17-10739351-10739851	1	Mouse	Enterocytes
chr17-15379805-15380305	0.860000014305115	Mouse	Enterocytes
chr17-30395309-30395809	1	Mouse	Enterocytes
chr17-30402990-30403490	1	Mouse	Enterocytes
chr17-32873103-32873603	1	Mouse	Enterocytes
chr17-38872653-38873153	1	Mouse	Enterocytes
chr17-40284491-40284991	1	Mouse	Enterocytes
chr17-40499461-40499961	1	Mouse	Enterocytes
chr17-40622601-40623101	1	Mouse	Enterocytes
chr17-42752411-42752911	1	Mouse	Enterocytes
chr17-45171313-45171813	1	Mouse	Enterocytes
chr17-45171853-45172353	1	Mouse	Enterocytes
chr17-45172449-45172949	1	Mouse	Enterocytes
chr17-45973906-45974406	1	Mouse	Enterocytes
chr17-45976885-45977385	1	Mouse	Enterocytes
chr17-60150746-60151246	1	Mouse	Enterocytes
chr17-60151360-60151860	1	Mouse	Enterocytes
chr17-65071820-65072320	1	Mouse	Enterocytes
chr17-66427922-66428422	1	Mouse	Enterocytes
chr17-71180308-71180808	1	Mouse	Enterocytes
chr17-73174054-73174554	1	Mouse	Enterocytes
chr17-75093848-75094348	1	Mouse	Enterocytes
chr17-76043568-76044068	1	Mouse	Enterocytes
chr17-80996365-809968651	1	Mouse	Enterocytes
chr17-82874461-82874961	1	Mouse	Enterocytes
chr17-83125471-83125971	1	Mouse	Enterocytes
chr18-3458882-3459382	1	Mouse	Enterocytes
chr18-3466014-3466514	1	Mouse	Enterocytes
chr18-3466825-3467325	1	Mouse	Enterocytes
chr18-5629085-5629585	1	Mouse	Enterocytes
chr18-13405972-13406472	1	Mouse	Enterocytes
chr18-23122035-23122535	1	Mouse	Enterocytes
chr18-31487551-31488051	1	Mouse	Enterocytes
chr18-31488518-31489018	1	Mouse	Enterocytes
chr18-31652384-31652884	1	Mouse	Enterocytes
chr18-32238606-32239106	1	Mouse	Enterocytes
chr18-32296793-32297293	1	Mouse	Enterocytes
chr18-39978371-39978871	1	Mouse	Enterocytes
chr18-44772304-44772804	1	Mouse	Enterocytes
chr18-45061331-45061831	1	Mouse	Enterocytes
chr18-47911770-47912270	1	Mouse	Enterocytes
chr18-48054171-48054671	1	Mouse	Enterocytes
chr18-48072304-48072804	1	Mouse	Enterocytes
chr18-48073209-48073709	1	Mouse	Enterocytes
chr18-49625067-49625567	1	Mouse	Enterocytes
chr18-55837514-55838014	1	Mouse	Enterocytes
chr18-55838677-55839177	1	Mouse	Enterocytes
chr18-57704253-57704753	1	Mouse	Enterocytes
chr18-57767973-57768473	0.920000016689301	Mouse	Enterocytes
chr18-57768876-57769376	1	Mouse	Enterocytes
chr18-58240071-58240571	1	Mouse	Enterocytes
chr18-58241379-58242379	1	Mouse	Enterocytes
chr18-58788768-58789268	1	Mouse	Enterocytes
chr18-58789392-587898921	1	Mouse	Enterocytes
chr18-59951528-59952028	1	Mouse	Enterocytes
chr18-62399220-62399720	1	Mouse	Enterocytes
chr18-63489426-63489926	1	Mouse	Enterocytes
chr18-63492838-63493338	1	Mouse	Enterocytes
chr18-70452310-70452810	1	Mouse	Enterocytes
chr18-70453324-70453824	1	Mouse	Enterocytes
chr19-3538918-3539418	1	Mouse	Enterocytes
chr19-3543138-3543638	1	Mouse	Enterocytes
chr19-14525701-14526201	1	Mouse	Enterocytes
chr19-21233659-21234159	1	Mouse	Enterocytes
chr19-30010988-30011488	1	Mouse	Enterocytes
chr19-35673339-35673839	1	Mouse	Enterocytes
chr19-38634559-38635059	1	Mouse	Enterocytes
chr19-38788171-38789172	1	Mouse	Enterocytes
chr19-39166627-391671271	1	Mouse	Enterocytes
chr19-39167419-39167919	1	Mouse	Enterocytes
chr19-41194104-41194604	1	Mouse	Enterocytes
chr19-43533187-43533687	1	Mouse	Enterocytes
chr19-46022753-46023253	1	Mouse	Enterocytes
chr19-46296626-46297126	1	Mouse	Enterocytes
chr19-47156812-47157312	1	Mouse	Enterocytes
chr19-47158284-47158784	1	Mouse	Enterocytes
chr19-47675187-47675687	1	Mouse	Enterocytes
chr19-47675731-47676231	1	Mouse	Enterocytes
chr19-51349754-51350254	1	Mouse	Enterocytes
chr19-55038072-55038572	1	Mouse	Enterocytes
chr20-753856-754356	1	Mouse	Enterocytes
chr20-1363519-1364019	1	Mouse	Enterocytes
chr20-2208800-2209300	1	Mouse	Enterocytes
chr20-4067507-4068007	1	Mouse	Enterocytes
chr20-5182463-5182963	1	Mouse	Enterocytes
chr20-10475355-10475855	1	Mouse	Enterocytes
chr20-15875356-15875856	1	Mouse	Enterocytes
chr20-16283247-16283747	1	Mouse	Enterocytes
chr20-16390944-16391444	1	Mouse	Enterocytes
chr20-17512964-17513464	1	Mouse	Enterocytes
chr20-17520505-17521005	1	Mouse	Enterocytes
chr20-17572093-17572593	1	Mouse	Enterocytes
chr20-17740327-17740827	1	Mouse	Enterocytes
chr20-31542110-31542610	1	Mouse	Enterocytes
chr20-34334704-34335204	1	Mouse	Enterocytes
chr20-34335611-34336111	1	Mouse	Enterocytes
chr20-37347808-37348308	1	Mouse	Enterocytes
chr20-45340315-45340815	1	Mouse	Enterocytes
chr20-45340917-45341417	1	Mouse	Enterocytes
chr20-47455151-47455651	1	Mouse	Enterocytes
chr20-53903562-53904062	1	Mouse	Enterocytes
chr20-57772481-57772981	1	Mouse	Enterocytes
chr20-58571265-58571765	1	Mouse	Enterocytes
chr20-58571887-58572387	1	Mouse	Enterocytes
chr20-59010437-59010937	1	Mouse	Enterocytes
chr20-59996008-59996508	1	Mouse	Enterocytes
chr21-17549744-17550244	1	Mouse	Enterocytes
chr21-29181690-29182190	1	Mouse	Enterocytes
chr21-30215160-30215660	1	Mouse	Enterocytes
chr21-30271042-30271542	1	Mouse	Enterocytes
chr21-32794626-32795126	1	Mouse	Enterocytes
chr21-32795342-32795842	1	Mouse	Enterocytes
chr21-34046897-34047397	1	Mouse	Enterocytes
chr21-34189394-34189894	1	Mouse	Enterocytes
chr21-34190448-34190948	1	Mouse	Enterocytes
chr21-36459404-36459904	1	Mouse	Enterocytes
chr21-38788220-38788720	1	Mouse	Enterocytes
chr21-39612662-39613162	1	Mouse	Enterocytes
chr21-39613407-39613907	1	Mouse	Enterocytes
chr21-39630204-39630704	1	Mouse	Enterocytes
chr21-42539261-42539761	1	Mouse	Enterocytes
chr21-42540000-42540500	1	Mouse	Enterocytes
chr21-42732035-42732535	1	Mouse	Enterocytes
chr22-19571326-19571826	1	Mouse	Enterocytes
chr22-19571983-19572483	1	Mouse	Enterocytes
chr22-25067904-25068404	1	Mouse	Enterocytes
chr22-29654743-29655243	1	Mouse	Enterocytes
chr22-30575198-30575698	1	Mouse	Enterocytes
chr22-35315129-35315629	1	Mouse	Enterocytes
chr22-36363353-36363853	1	Mouse	Enterocytes
chr22-36999426-36999926	1	Mouse	Enterocytes
chr22-39428189-39428689	1	Mouse	Enterocytes
chr22-39428750-39429250	1	Mouse	Enterocytes
chr22-42848859-42849359	1	Mouse	Enterocytes
chrX-103310002-103310502	1	Mouse	Enterocytes
chr1-1124651-1125151	1	Human	Enterocytes
chr1-2050051-2050551	1	Human	Enterocytes
chr1-12477998-12478498	1	Human	Enterocytes
chr1-15424085-15424585	1	Human	Enterocytes
chr1-15735916-157364161	1	Human	Enterocytes
chr1-15736747-15737247	1	Human	Enterocytes
chr1-15741300-15741800	1	Human	Enterocytes
chr1-15764361-15764861	1	Human	Enterocytes
chr1-15780612-15781112	1	Human	Enterocytes
chr1-17587988-17588488	1	Human	Enterocytes
chr1-17597089-17597589	1	Human	Enterocytes
chr1-19799476-19799976	1	Human	Enterocytes
chr1-19815018-19815518	1	Human	Enterocytes
chr1-20476350-20476850	1	Human	Enterocytes
chr1-21329291-21329791	1	Human	Enterocytes
chr1-21927521-21928021	1	Human	Enterocytes
chr1-23436512-23437012	1	Human	Enterocytes
chr1-26849247-26849747	1	Human	Enterocytes
chr1-26862827-26863327	1	Human	Enterocytes
chr1-26960207-26960707	1	Human	Enterocytes
chr1-31575464-31575964	1	Human	Enterocytes
chr1-39158564-39159064	1	Human	Enterocytes
chr1-39818416-39818916	1	Human	Enterocytes
chr1-39901793-39902293	1	Human	Enterocytes
chr1-39934231-39934731	1	Human	Enterocytes
chr1-39980460-39980960	1	Human	Enterocytes
chr1-43256575-43257075	1	Human	Enterocytes
chr1-43270363-43270863	1	Human	Enterocytes
chr1-43545694-43546194	1	Human	Enterocytes
chr1-43550077-43550577	1	Human	Enterocytes
chr1-46187408-46187908	1	Human	Enterocytes
chr1-47436968-47437969	1	Human	Enterocytes
chr1-47477528-47478028	1	Human	Enterocytes
chr1-54541945-54542946	1	Human	Enterocytes
chr1-56451441-56451941	1	Human	Enterocytes
chr1-56508434-56508934	1	Human	Enterocytes
chr1-58922206-58922706	1	Human	Enterocytes
chr1-59814521-59815021	1	Human	Enterocytes
chr1-67760288-67760788	1	Human	Enterocytes
chr1-71823690-71824190	1	Human	Enterocytes
chr1-76595037-76595537	1	Human	Enterocytes
chr1-81453294-81453794	1	Human	Enterocytes
chr1-85275077-85275577	1	Human	Enterocytes
chr1-88992703-88993203	1	Human	Enterocytes
chr1-93617545-93618045	1	Human	Enterocytes
chr1-94383988-94384488	1	Human	Enterocytes
chr1-109351378-109351878	1	Human	Enterocytes
chr1-109499712-109500212	1	Human	Enterocytes
chr1-113217702-113218202	1	Human	Enterocytes
chr1-113242410-113242910	1	Human	Enterocytes
chr1-116242673-116243173	1	Human	Enterocytes
chr1-116982267-116982767	1	Human	Enterocytes
chr1-117680521-117681021	1	Human	Enterocytes
chr1-119768738-119769238	1	Human	Enterocytes
chr1-151992216-151992716	1	Human	Enterocytes
chr1-153515826-153516326	1	Human	Enterocytes
chr1-153608773-1536092731	1	Human	Enterocytes
chr1-153612825-153613325	1	Human	Enterocytes
chr1-154418210-154418710	1	Human	Enterocytes
chr1-155007828-1550088291	1	Human	Enterocytes
chr1-155017264-155017764	1	Human	Enterocytes
chr1-155125942-155126442	1	Human	Enterocytes
chr1-155129016-155129516	1	Human	Enterocytes
chr1-156749640-156750140	1	Human	Enterocytes
chr1-159945881-159946381	1	Human	Enterocytes
chr1-161013621-1610141211	1	Human	Enterocytes
chr1-161021045-161021545	1	Human	Enterocytes
chr1-161038774-1610392741	1	Human	Enterocytes
chr1-167162863-167163363	1	Human	Enterocytes
chr1-171257064-171257564	1	Human	Enterocytes
chr1-175840230-175840730	1	Human	Enterocytes
chr1-180167992-180168492	1	Human	Enterocytes
chr1-183159896-183160396	1	Human	Enterocytes
chr1-184425788-184426288	1	Human	Enterocytes
chr1-185488871-185489371	1	Human	Enterocytes
chr1-185650565-185651065	1	Human	Enterocytes
chr1-193549042-193549542	1	Human	Enterocytes
chr1-200027296-200027796	1	Human	Enterocytes
chr1-201597763-2015982631	1	Human	Enterocytes
chr1-204225808-204226809	1	Human	Enterocytes
chr1-204448525-204449025	1	Human	Enterocytes
chr1-205317445-205317945	1	Human	Enterocytes
chr1-205319487-205319987	1	Human	Enterocytes
chr1-205354971-205355471	1	Human	Enterocytes
chr1-206955443-206955943	1	Human	Enterocytes
chr1-208951741-208952241	1	Human	Enterocytes
chr1-211335844-2113363441	1	Human	Enterocytes
chr1-211515179-211515679	1	Human	Enterocytes
chr1-212125123-212125623	1	Human	Enterocytes
chr1-225441241-2254417411	1	Human	Enterocytes
chr1-228059532-228060032	1	Human	Enterocytes
chr1-232682188-232682688	1	Human	Enterocytes
chr1-234612519-234613019	1	Human	Enterocytes
chr1-234959688-234960188	1	Human	Enterocytes
chr1-234998308-234998808	1	Human	Enterocytes
chr1-235079507-235080007	1	Human	Enterocytes
chr1-239386328-239386828	1	Human	Enterocytes
chr1-240280896-240281396	1	Human	Enterocytes
chr1-244092855-244093355	1	Human	Enterocytes
chr1-244652705-2446532053	1	Human	Enterocytes
chr1-246677790-246678290	1	Human	Enterocytes
chr1-247856837-247857337	1	Human	Enterocytes
chr2-263818-264318	1	Human	Enterocytes
chr2-264492-264992	1	Human	Enterocytes
chr2-676760-677260	1	Human	Enterocytes
chr2-8456973-8457473	1	Human	Enterocytes
chr2-8583671-85841711	1	Human	Enterocytes
chr2-8627678-8628178	1	Human	Enterocytes
chr2-9335257-9335757	1	Human	Enterocytes
chr2-11370500-11371000	1	Human	Enterocytes
chr2-17879073-17879573	1	Human	Enterocytes
chr2-20195969-20196469	1	Human	Enterocytes
chr2-20225226-202257261	1	Human	Enterocytes
chr2-24076385-240768851	1	Human	Enterocytes
chr2-25997665-25998165	1	Human	Enterocytes
chr2-27092868-27093368	1	Human	Enterocytes
chr2-28366598-28367098	1	Human	Enterocytes
chr2-28391508-28392008	1	Human	Enterocytes
chr2-31414608-31415108	1	Human	Enterocytes
chr2-43032252-43032752	1	Human	Enterocytes
chr2-43169261-431697611	1	Human	Enterocytes
chr2-46847098-468475981	1	Human	Enterocytes
chr2-46970634-46971134	1	Human	Enterocytes
chr2-54549975-54550475	1	Human	Enterocytes
chr2-60495144-60495644	1	Human	Enterocytes
chr2-64453802-64454302	1	Human	Enterocytes
chr2-69309263-69309763	1	Human	Enterocytes
chr2-70328903-70329403	1	Human	Enterocytes
chr2-70553697-70554197	1	Human	Enterocytes
chr2-73032308-73032808	1	Human	Enterocytes
chr2-73983578-73984078	1	Human	Enterocytes
chr2-74695608-74696108	1	Human	Enterocytes
chr2-74862316-74862816	1	Human	Enterocytes
chr2-74863644-74864144	1	Human	Enterocytes
chr2-85306902-85307402	1	Human	Enterocytes
chr2-85324753-85325253	1	Human	Enterocytes
chr2-85503098-85503598	1	Human	Enterocytes
chr2-95389724-95390224	1	Human	Enterocytes
chr2-96760556-96761056	1	Human	Enterocytes
chr2-101080319-101080819	1	Human	Enterocytes
chr2-105404107-105404607	1	Human	Enterocytes
chr2-105790656-105791156	1	Human	Enterocytes
chr2-108972115-108972615	1	Human	Enterocytes
chr2-111185498-111185998	1	Human	Enterocytes
chr2-112644278-112644778	1	Human	Enterocytes
chr2-121285017-121285517	1	Human	Enterocytes
chr2-133421600-133422100	1	Human	Enterocytes
chr2-144942948-144943448	1	Human	Enterocytes
chr2-156182076-156182576	1	Human	Enterocytes
chr2-158953915-158954415	1	Human	Enterocytes
chr2-159904541-1599050411	1	Human	Enterocytes
chr2-160208054-160208554	1	Human	Enterocytes
chr2-160221646-160222146	1	Human	Enterocytes
chr2-162343796-1623442961	1	Human	Enterocytes
chr2-166375772-166376272	1	Human	Enterocytes
chr2-168190595-168191095	1	Human	Enterocytes
chr2-168216576-168217076	1	Human	Enterocytes
chr2-172427289-1724277891	1	Human	Enterocytes
chr2-172427845-172428345	1	Human	Enterocytes
